model,case_id,trace_id,base_is_correct,n_sentences,delta,commits,commit_boundary,depth,tvd_at_commit,n_distinct,top_share,second_share,top_two_share,n_over_10pct,effective_n
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,24,0.05,1,19,0.7603305785123967,0.0,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,24,0.1,1,17,0.6797520661157025,0.052631578947368446,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,24,0.15,1,17,0.6797520661157025,0.052631578947368446,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,24,0.2,1,17,0.6797520661157025,0.052631578947368446,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,24,0.25,1,17,0.6797520661157025,0.052631578947368446,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,24,0.3,1,16,0.6053719008264463,0.26315789473684215,5,0.7368421052631579,0.10526315789473684,0.8421052631578947,2,2.5266834650253576
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,24,0.35,1,16,0.6053719008264463,0.26315789473684215,5,0.7368421052631579,0.10526315789473684,0.8421052631578947,2,2.5266834650253576
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,24,0.4,1,16,0.6053719008264463,0.26315789473684215,5,0.7368421052631579,0.10526315789473684,0.8421052631578947,2,2.5266834650253576
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,24,0.45,1,16,0.6053719008264463,0.26315789473684215,5,0.7368421052631579,0.10526315789473684,0.8421052631578947,2,2.5266834650253576
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,24,0.5,1,16,0.6053719008264463,0.26315789473684215,5,0.7368421052631579,0.10526315789473684,0.8421052631578947,2,2.5266834650253576
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,11,0.05,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,11,0.1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,11,0.15,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,11,0.2,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,11,0.25,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,11,0.3,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,11,0.35,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,11,0.4,1,10,0.8877551020408163,0.368421052631579,3,0.631578947368421,0.3157894736842105,0.9473684210526315,2,2.2461226729344785
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,11,0.45,1,10,0.8877551020408163,0.368421052631579,3,0.631578947368421,0.3157894736842105,0.9473684210526315,2,2.2461226729344785
