delta,committing,depth median [IQR],before mid-trace,top answer share,second answer share
0.05,69.5%,"0.857 [0.682, 0.944]",10.7%,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]"
0.1,84.0%,"0.699 [0.451, 0.878]",29.3%,"0.95 [0.90, 1.00]","0.05 [0.00, 0.10]"
0.15,87.3%,"0.680 [0.428, 0.864]",31.7%,"0.95 [0.90, 0.95]","0.05 [0.05, 0.10]"
0.2,93.0%,"0.632 [0.369, 0.827]",38.3%,"0.85 [0.80, 0.95]","0.10 [0.05, 0.15]"
0.25,94.7%,"0.586 [0.315, 0.792]",43.0%,"0.80 [0.75, 0.90]","0.11 [0.05, 0.20]"
0.3,95.8%,"0.569 [0.300, 0.785]",44.4%,"0.80 [0.75, 0.90]","0.11 [0.05, 0.20]"
0.35,97.0%,"0.480 [0.240, 0.743]",51.2%,"0.75 [0.65, 0.85]","0.15 [0.10, 0.25]"
0.4,97.6%,"0.420 [0.162, 0.702]",56.5%,"0.70 [0.62, 0.85]","0.20 [0.10, 0.30]"
0.45,98.2%,"0.351 [0.101, 0.661]",61.7%,"0.65 [0.58, 0.80]","0.20 [0.10, 0.30]"
0.5,98.8%,"0.282 [0.047, 0.601]",67.8%,"0.60 [0.50, 0.75]","0.25 [0.11, 0.35]"
