model,case_id,trace_id,base_is_correct,n_sentences,n_boundaries,vocabulary_size,converge_boundary_tvd,converge_token_frac_tvd,tvd_max_first,tvd_max_at_convergence,tvd_median_first
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,24,25,50,17,0.6797520661157025,0.7894736842105263,0.052631578947368446,0.49488304093567254
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,11,12,35,11,1.0,1.0,0.0,0.4368421052631578
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,87cc6962263e6fb1fa5257f65e0bf076859f887cd6d0d47a2bfbb414e6e32b63,True,17,18,19,17,1.0,0.95,0.0,0.30000000000000004
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,0f06f6990d5d116905f7015cfdb32c45450e9c9707c1751eef1a8d35e92680df,False,16,17,29,13,0.825,0.9,0.14999999999999997,0.5
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,13,14,76,8,0.6241379310344828,0.8973684210526314,0.2,0.8421052631578945
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,12,13,77,6,0.41946308724832215,1.0000000000000004,0.15000000000000002,0.9750000000000002
deepseek-r1-distill-qwen-1.5b,0a50a7f439c2c0e933b8132ed7650075,b5e583d720abdab994e5a7659026ae0fdc601f7055821ce42d66c68ad8a1eee1,True,22,23,79,21,0.9203703703703704,0.8444444444444447,0.19999999999999998,0.6666666666666667
deepseek-r1-distill-qwen-1.5b,0a50a7f439c2c0e933b8132ed7650075,9e81d999ae819b1ffb1d10d749cc1e31a5ef82615f96197d78f256d47a917d2b,False,13,14,54,11,0.8052805280528053,0.9444444444444445,0.09999999999999999,0.5611111111111112
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,0d460432dbaf1d4aa85f066f1a649e9d1a4b6220b49461d7e210ca0c678e24e5,True,24,25,21,23,0.9660714285714286,0.823529411764706,0.0,0.5278637770897834
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,263a60d68001bf29f7779947e5ed0eec2d8acad9cf3c2a0f6d4f5a17e92682ab,False,12,13,20,9,0.6885813148788927,1.0,0.14285714285714288,0.7260599415204678
deepseek-r1-distill-qwen-1.5b,14a87d69ccc079d85a0f5d57dc4a7bdb,6b82eca76a3eabc699a4ebbba263d97ca4b9064f0ffef3eb56e12e83514dc7e8,True,25,26,98,18,0.7096188747731398,0.9999999999999999,0.0,0.8947368421052629
deepseek-r1-distill-qwen-1.5b,14a87d69ccc079d85a0f5d57dc4a7bdb,bdba34dfaf32dd6fc394db5d93d8f550b94deb375e3dea9df9f76b9bc4f5ab9a,False,16,17,81,14,0.8329048843187661,0.8947368421052629,0.050000000000000024,0.7394736842105262
deepseek-r1-distill-qwen-1.5b,224470287933cd1645a9c37f922eb1c8,3f10ebe700c4b44efecfe1c78d7061ed389ddc5983d764b967f93354bcc24fe0,True,14,15,46,6,0.4107142857142857,0.9999999999999999,0.19444444444444442,0.9999999999999997
deepseek-r1-distill-qwen-1.5b,224470287933cd1645a9c37f922eb1c8,ff5790ffd5e562bcebcb995747fb1f0b6a25abf0cb14b4b7cd9409e139496cec,False,11,12,39,11,1.0,0.9500000000000003,0.0,0.9000000000000001
deepseek-r1-distill-qwen-1.5b,24686977bb5ff6eaee7dac452c92c4be,b11889e8bf70a17d789aa9a9495414e3ae411ca8ebf62587286d50dcaaec695a,True,15,16,68,15,1.0,1.0000000000000002,0.0,0.7189542483660132
deepseek-r1-distill-qwen-1.5b,24686977bb5ff6eaee7dac452c92c4be,381ca75b7c0ddd98480d90e33e8c4716a0009a5ad3c6a80b8b9c87c240ac952f,False,23,24,69,13,0.5205930807248764,1.0000000000000002,0.1176470588235294,0.9000000000000001
deepseek-r1-distill-qwen-1.5b,258c0f33efb3e637962b4ea8f6971d09,fcc94381a4a81af4cc0dfc020d3a18e2c592868fe1d8aaaf3f47457c57f2716d,True,22,23,80,16,0.7024070021881839,0.9473684210526314,0.16052631578947366,0.844736842105263
deepseek-r1-distill-qwen-1.5b,258c0f33efb3e637962b4ea8f6971d09,45580d9b2fc6452748e77325969f38c11d2705e2b4c453037ee855d08fde29e0,False,20,21,73,14,0.6897810218978102,1.0,0.15,0.65
deepseek-r1-distill-qwen-1.5b,2600ed7d2340c964a027e94ed65d75f2,7f1f6b82ef5e25e39e07a85fb8c180fd630dc0f4d0e410ad39441e7e2f4ebe2c,True,13,14,40,13,1.0,0.9999999999999998,0.0,0.8421052631578945
deepseek-r1-distill-qwen-1.5b,27f2b910c19b40bb9f36ce9a3a8909af,7f56193ae6571139bc6c4c351d58d867d99a4f7137a4a059adc61befc3670ddd,True,30,31,82,29,0.9798657718120806,0.9999999999999998,0.11764705882352937,0.8723739495798318
deepseek-r1-distill-qwen-1.5b,27f2b910c19b40bb9f36ce9a3a8909af,48dbc4f58e401e673e37bfdc5f0559a8d94e801f6e3eccd89c53ca4fb6f14ad5,False,15,16,41,12,0.7672209026128266,1.0000000000000002,0.17647058823529416,0.8888888888888891
deepseek-r1-distill-qwen-1.5b,288897f502a272f8f0b8b999354a154d,648e47b2f1bafb52f22a376678ffd418b9643888c2690725865820989aa57871,True,30,31,54,11,0.2930513595166163,0.9999999999999999,0.19999999999999996,0.8723684210526315
deepseek-r1-distill-qwen-1.5b,288897f502a272f8f0b8b999354a154d,73f65b45ebe36218250cc8e29d89c0610a621f25dd7c53041013a43f96ae602f,False,25,26,66,20,0.7974452554744526,0.7368421052631579,0.19999999999999996,0.4736842105263157
deepseek-r1-distill-qwen-1.5b,28891dd6ff7aaeaf92456def52f81530,aa521f3e28f4916295cb2e725bb2b37c9d817103daff60b39bc5fe7f59ad0e4a,False,17,18,19,8,0.42780748663101603,0.631578947368421,0.19444444444444448,0.4736842105263157
deepseek-r1-distill-qwen-1.5b,28c328b44b6a8b287cd1e29bfc9c17eb,9984bbbbdfb5cfffa8c8c4deab96a974512bad7429e299d0ab0ebf41db09a4bb,True,22,23,35,13,0.5707762557077626,1.0,0.15000000000000002,0.85
deepseek-r1-distill-qwen-1.5b,28c328b44b6a8b287cd1e29bfc9c17eb,894c92c28ffdac20775618973fe349aa89ea1537fdf4324946b0bb34a0046b21,False,13,14,36,7,0.4504792332268371,1.0,0.09999999999999999,0.9
deepseek-r1-distill-qwen-1.5b,34d053d3a9b3a1f013655f7223718de7,7c7927bff5ee0774be9aef84c7c448e46779016700f311a59a354759131fbada,True,19,20,39,13,0.6142857142857143,1.0,0.17647058823529413,0.5980392156862746
deepseek-r1-distill-qwen-1.5b,34d053d3a9b3a1f013655f7223718de7,bd1c42956754bb8a31b345726739faa97d55bb2c5695f12dbe6cdbe49073f8ef,False,17,18,50,16,0.9621052631578947,0.650326797385621,0.055882352941176466,0.33333333333333337
deepseek-r1-distill-qwen-1.5b,34f92cdb48573ee3ec1837da4f60ff3f,0fe9572e5f2e6c50c401a94f66da2484c57065ce77e70c860ccaffa2fe73d10e,True,21,22,90,19,0.8938775510204081,0.8947368421052629,0.0,0.789473684210526
deepseek-r1-distill-qwen-1.5b,34f92cdb48573ee3ec1837da4f60ff3f,1d303053c4cfffd679962b60248d7aa4ef720c1cec0b6d1eb09c675b8b87e6d8,False,18,19,85,18,1.0,0.9000000000000001,0.0,0.8000000000000003
