model,trace_id,pre_rate,post_rate,n_pre,n_post
deepseek-r1-distill-llama-8b,03b5bb439d6ce305b48d8c783856f6f45fdff8992666c8569152010c6436595f,0.5333333333333333,0.5,15,8
deepseek-r1-distill-llama-8b,115fff0b0658196744757057d99dde5e995d42f1ae5a0ac2a72e0fe9472ef6b8,0.5882352941176471,0.6923076923076923,17,13
deepseek-r1-distill-llama-8b,1292880a10b64a4ea7a1d9b9176020b4100b9e201279ad50b0eb07989771de39,0.45,0.5833333333333334,20,12
deepseek-r1-distill-llama-8b,15e22e7dc0215ed22d7baa06b06c9931916b319c90a2012acf76c2d73968460d,0.4,0.0,25,6
deepseek-r1-distill-llama-8b,1608e68f5b14728d95efd22f5897afd6d6d3dea639662325514b274386a0325f,0.6,0.6,15,5
deepseek-r1-distill-llama-8b,163a48698ba14162461022c9ebe15f0729398c5a078a2fa6d6f5d3d5c6a0fbf4,0.21875,0.16666666666666666,32,6
deepseek-r1-distill-llama-8b,1ff8fe30d7fd176fcf7612f8fb999c2a1da6f1df8aea704426d15e1e86463004,0.625,0.8,24,5
deepseek-r1-distill-llama-8b,27dbb45201348d70823adfdca95200f5c8c2ee3b24a64dc84de965840815880f,0.0,0.14285714285714285,10,14
deepseek-r1-distill-llama-8b,2b2c009a026c01b4ce7c51edd13d23b52731612175d5d8d2776e5312c783912b,0.45454545454545453,0.18181818181818182,77,11
deepseek-r1-distill-llama-8b,2c47cbc9217310e0aa094326793a70bfdb9423f8df02349893c974546d3b51e0,1.0,0.42857142857142855,9,14
deepseek-r1-distill-llama-8b,2de9a972b231dde0bb27a3871ccbd3dcca47002ff66dd8c458955c4c89d7b5b4,0.18181818181818182,0.5,22,12
deepseek-r1-distill-llama-8b,2fdeb58b9e545dea7d2d6a55b01e448fdca6d3bfffa35ccef37ee40325b44ad0,0.4864864864864865,0.5,37,8
deepseek-r1-distill-llama-8b,3203aa91976718e7e0789efade45b071e8bbd5084f4dcb15f5cb70f5ccdb1cf4,0.08333333333333333,0.15384615384615385,12,13
deepseek-r1-distill-llama-8b,3295ffa7200be5b8316b813b180dcc5529c79e24b62d3f814be667b3a01f6d60,0.09523809523809523,0.36363636363636365,21,11
deepseek-r1-distill-llama-8b,32e181cf35f8e99af5545e4aa761c8be3d052ec6054ecda3da417320f886853e,0.3333333333333333,0.3333333333333333,12,12
deepseek-r1-distill-llama-8b,33d67a62d3832ccebaa4914112faddfd1b76e9699262d2e614d5aa95dfc0fdb8,0.4,0.36363636363636365,10,11
deepseek-r1-distill-llama-8b,37d331a23312e9d06e5e172773eb14845c9ea4772e77eb761d6db33d61926c31,0.21052631578947367,0.16666666666666666,19,6
deepseek-r1-distill-llama-8b,37eedf564591546dda6c5949937798c6dfe1785b7d067ac2b39d1ef21b9b62e2,0.4666666666666667,0.8571428571428571,15,7
deepseek-r1-distill-llama-8b,39bca8797edb3b9dd0934b27b9f1efe5e2baf0952588f6018cc1b1ba030950c2,0.3888888888888889,0.3333333333333333,18,6
deepseek-r1-distill-llama-8b,3e3e3566a388a5fa4fc69b499d0a5f01859916169650dcb579772e918e53d239,0.1,0.5,20,6
deepseek-r1-distill-llama-8b,46c1e2001f439e3cfe0152d7027b140cf534a328d4c9af46fcdcc463ececa683,0.125,0.1,16,10
deepseek-r1-distill-llama-8b,46d9c42398ed08addd39cedc389d8aff888de1320efc10e06fa291bcc4c08dd3,0.7,0.15384615384615385,10,13
deepseek-r1-distill-llama-8b,4a15e830255f4d54bd75252426a10c92d23029fbf33a3c61c6800580a289894d,1.0,0.8,6,10
deepseek-r1-distill-llama-8b,4a1e974107217853953fc9e32f2588a9ca3df963df6659ecae531fd194848dec,0.8888888888888888,0.9,9,10
deepseek-r1-distill-llama-8b,4c000bcdba2eee8d38d245322c9c5c298a30c404c17bd3d8e1c439c73460a9c7,0.23076923076923078,0.3333333333333333,26,6
deepseek-r1-distill-llama-8b,4ce76ccb7525163b14d4d058bcc02fd6bcfc69984cdda0d0921a13a89817a3f2,0.21428571428571427,0.5,14,6
